driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PIA,McLaren,2.0,finished,0
NOR,McLaren,3.0,finished,0
LEC,Ferrari,4.0,finished,0
RUS,Mercedes,5.0,finished,0
ALO,Aston Martin,6.0,finished,0
OCO,Haas F1 Team,7.0,finished,0
HAM,Ferrari,8.0,finished,0
HUL,Kick Sauber,9.0,finished,0
STR,Aston Martin,10.0,finished,0
BOR,Kick Sauber,11.0,finished,0
BEA,Haas F1 Team,12.0,finished,0
SAI,Williams,13.0,finished,0
TSU,Red Bull Racing,14.0,finished,0
ANT,Mercedes,15.0,finished,0
ALB,Williams,16.0,finished,0
HAD,Racing Bulls,17.0,lapped,0
LAW,Racing Bulls,18.0,lapped,0
GAS,Alpine,19.0,lapped,0
COL,Alpine,20.0,lapped,0
